Reference,Date,Debit,Credit,Net Balance,Narrative
624515,2020-01-10 00:00:00,0,1736.522,,JTY02 FI Pol ANNUITY
622698J,31/10/2020,0,2060,,IG VOUCHER Funds received Ref 94230
624516,31/10/2020,0,1855.652,,JTY02 FI Pol ANNUITY
624519,2020-01-11 00:00:00,0,1960.87,,JTY02 FI Pol ANNUITY
624521,2020-01-12 00:00:00,0,1348.6,,JTY02 FI Pol ANNUITY DEC'20
624521,2020-01-12 00:00:00,0,1348.6,,JTY02 FI Pol ANNUITY
624521,2020-01-12 00:00:00,1348.6,0,,JTY02 FI Pol ANNUITY
624527,31/01/2021,0,1399.024,,JTY02 F&I Pol Annuity
624806C,31/12/2021,0,1820,,IG VOUCHER Funds received Ref 9457
