,2016-06-28 00:00:00,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Agent Name,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
1,Totals,,302891.0,171849.0,38632.0,15242.0,28799.0,69810.0,0.0,18252.0,0.0,370.0,0.0,0.0,744.0
2,C,,30733.0,13680.0,3001.0,2219.0,3886.0,0.0,0.0,4574.0,0.0,0.0,0.0,0.0,0.0
3,E,,30522.0,16455.0,4549.0,2285.0,0.0,9621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A,,30807.0,13115.0,4280.0,1804.0,3537.0,2605.0,0.0,0.0,0.0,167.0,0.0,0.0,722.0
